hour,out,in
0,109,153
1,78,134
2,59,79
3,20,23
4,14,11
5,13,83
6,76,178
7,222,366
8,409,484
9,378,460
10,502,456
11,615,564
12,825,794
13,801,748
14,868,818
15,878,820
16,1152,867
17,1106,1091
18,1039,1018
19,894,829
20,674,616
21,437,512
22,371,313
23,209,214
